Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Dist_to_Highway_m,Slope_deg,Ruggedness,Elevation_m,LULC_Friction,Dist_to_Settlement_m,Soil_Class,Geology_Class,LULC_Class_Name_WorldCover,Coordinate_Precision,N_Raster_Cells_Imputed,MCDM_Score,MCDM_Class,National_Model_Class
loc_00014,Horst-graben structures,32.590025000000004,-4.504727777777778,Drâa-Tafilalet,318.4465343323972,9.488701857189737,11.80099714294938,1812.68408203125,0.1,24203.301486776007,9.0,71.0,Bare/sparse vegetation,point,0.0,0.2722342528294011,Moderate,Moderate
loc_00015,Rhizocorallium burrows,32.58986388888889,-4.504866666666667,Drâa-Tafilalet,340.3871382996423,10.07140583678105,10.721105654377585,1816.0859375,0.1,24198.930151986187,9.0,71.0,Bare/sparse vegetation,point,0.0,0.2673078635711164,Moderate,Moderate
loc_00016,Tridactyl footpreints,32.58935,-4.504527777777778,Drâa-Tafilalet,360.06834481843345,11.908621582411673,13.092888445893594,1809.46533203125,0.15,24251.637207187672,9.0,71.0,Grassland,point,0.0,0.3002739185559545,Moderate,Moderate
loc_00017,Lac Tislit,32.19583333333333,-5.636666666666666,Drâa-Tafilalet,410.8516861860282,0.0,0.0,2250.5,0.9,69118.63223171416,9.0,71.0,Water bodies,point,3.0,0.2500854334302983,Moderate,Easy
loc_00018,Imelouan Folds,32.155833333333334,-5.598333333333333,Drâa-Tafilalet,6.006884745218144,20.867695102836485,17.622465779958677,2178.271240234375,0.1,70838.28824902223,9.0,18.0,Bare/sparse vegetation,point,3.0,0.4260918883321078,Moderate,Moderate
loc_00019,"Ait Ali Ou-Ikkou ""Red beds""",32.14472222222222,-5.557777777777778,Drâa-Tafilalet,991.082751251457,17.020516787957284,15.63974730436467,2311.35546875,0.15,69363.63219956422,9.0,71.0,Grassland,point,3.0,0.4212426875441253,Moderate,Difficult
loc_00020,Todgha Gorges,31.584444444444443,-5.590833333333333,Drâa-Tafilalet,46.44935349832321,36.74385944178508,64.64197382651085,1482.126953125,0.15,9012.222275363476,9.0,71.0,Grassland,point,0.0,0.519712141972633,Difficult,Difficult
loc_00021,Tamlalet Monkey’s fingers structures,31.44333333333333,-5.978055555555556,Drâa-Tafilalet,449.7356687852738,26.218801568870084,30.98998216361053,1635.86279296875,0.15,43255.8007033128,9.0,71.0,Grassland,point,1.0,0.5014965380277661,Difficult,Difficult
loc_00022,Tissadrine Folds,31.529444444444444,-5.925833333333333,Drâa-Tafilalet,58.04454110337361,24.38729956571733,25.53653332418647,1773.1461181640625,0.15,37419.00362305881,9.0,71.0,Grassland,point,3.0,0.4769441522293391,Difficult,Difficult
loc_00023,"Msemrir ""Red Beds""",31.72,-5.826666666666666,Drâa-Tafilalet,2019.861529661073,8.194471849094496,7.6302490234375,2049.147705078125,0.15,35649.74484622669,7.0,71.0,Grassland,point,0.0,0.4239159659500565,Moderate,Moderate
loc_00024,Ait Aritane Panoramic view,31.542222222222225,-5.566944444444444,Drâa-Tafilalet,43.50122063595659,23.42981133832883,37.44224359181302,1449.9647216796875,0.1,4110.575290906196,9.0,66.0,Bare/sparse vegetation,point,0.0,0.4692782233848863,Difficult,Difficult
loc_00025,Ait Snan Fault,31.39527777777778,-5.5975,Drâa-Tafilalet,3865.438956392837,1.4026424827471615,1.6220461002066116,1360.6551513671875,0.1,15363.875579519465,9.0,71.0,Bare/sparse vegetation,point,1.0,0.4831768913703537,Difficult,Moderate
loc_00026,"Tamtetoucht ""Red beds""",31.71722222222222,-5.507777777777778,Drâa-Tafilalet,95.52813981227838,4.315124525708093,4.49892961486312,1824.85009765625,0.15,21894.4903617053,9.0,71.0,Grassland,point,0.0,0.2034854376395551,Easy,Easy
loc_00027,Ait Hani Triassic salt cave,31.86416666666667,-5.470555555555555,Drâa-Tafilalet,10.862053103229709,23.419379524837392,29.10595904894112,2562.140869140625,0.1,38550.571591238,9.0,71.0,Bare/sparse vegetation,point,3.0,0.522804694185096,Difficult,Difficult
loc_00028,Ighrem N’Ougdal Middle Jurassic strata,32.009166666666665,-5.490833333333334,Drâa-Tafilalet,73.18836291655838,4.974522714638319,5.927389349819215,2342.634765625,0.05,54378.7958818117,9.0,71.0,Built-up,point,3.0,0.2374767407239542,Easy,Easy
loc_00029,Tinghir Paleozoic-Cretaceous unconformity,31.48305555555556,-5.539444444444444,Drâa-Tafilalet,43.0788885718326,8.489027910253434,5.819573016206095,1276.69384765625,0.1,4327.722740525457,9.0,8.0,Bare/sparse vegetation,point,0.0,0.1726398309012588,Easy,Easy
loc_00030,Foum El Kouss Basalts,31.435277777777777,-5.655,Drâa-Tafilalet,39.66980818478497,2.9008153060247,4.072700437435434,1366.206298828125,0.1,15148.194911232264,9.0,13.0,Bare/sparse vegetation,point,0.0,0.1552736031938271,Easy,Easy
loc_00031,Timaderouine Cretaceous-Tertiary strata,31.411666666666665,-5.722222222222222,Drâa-Tafilalet,841.0268064802611,12.061740296562244,15.8536185272469,1401.4979248046875,0.1,21841.446278007326,9.0,71.0,Bare/sparse vegetation,point,1.0,0.3055389870745637,Moderate,Moderate
loc_00032,Imider Tertiary strata,31.375,-5.7908333333333335,Drâa-Tafilalet,506.9672857358953,20.42420071062835,24.62287335356405,1502.0279541015625,0.1,29521.50359316073,9.0,13.0,Bare/sparse vegetation,point,0.0,0.4289899018135419,Moderate,Difficult
loc_00033,Anou N’Izm Tertiary strata,31.33944444444444,-5.838611111111111,Drâa-Tafilalet,688.1125572833673,13.183673837953906,17.97025217103564,1535.18701171875,0.1,35495.87828382546,8.0,13.0,Bare/sparse vegetation,point,0.0,0.3349320776591621,Moderate,Moderate
loc_00034,Ait Youl Basalts,31.425,-6.011388888888889,Drâa-Tafilalet,124.99957409199352,6.061686706962852,10.783147638494318,1571.80419921875,0.15,46785.459117512,9.0,71.0,Grassland,point,0.0,0.2294816478218632,Easy,Easy
loc_00035,Ait Ibriren Quaternary deposits,31.441944444444445,-6.010833333333333,Drâa-Tafilalet,52.93258657610263,21.27934631138978,26.20928501097624,1684.2000732421875,0.15,46334.59934573949,9.0,71.0,Grassland,point,0.0,0.4516192249118275,Difficult,Difficult
loc_00036,Ait Ouglef Allochthonous limestones,31.454722222222223,-5.959722222222222,Drâa-Tafilalet,930.6821215419542,33.211957618402494,37.67519107534866,1763.1846923828125,0.15,41305.89956503022,9.0,71.0,Grassland,point,1.0,0.564146283304365,Difficult,Difficult
loc_00037,Taghia N’Ait Hammou Gorges,31.53666666666667,-5.919444444444445,Drâa-Tafilalet,25.37224345421478,49.67938960083032,78.03858228951447,1871.8389892578125,0.15,36840.63211021445,9.0,71.0,Grassland,point,3.0,0.5555594847802406,Difficult,Difficult
loc_00038,Tilmi Folds,31.80138888888889,-5.926111111111111,Drâa-Tafilalet,13179.46841238071,21.22899931563965,25.019224560950413,3235.072509765625,0.15,48652.00160978642,7.0,71.0,Grassland,point,3.0,0.8560497266893272,Very Difficult,Difficult
loc_00039,Ait Attou Oumoussa Jurassic strata,31.861666666666668,-5.708055555555556,Drâa-Tafilalet,997.1815296619682,33.16465038142086,61.97328980501033,2308.11962890625,0.1,41379.40949722718,7.0,71.0,Bare/sparse vegetation,point,3.0,0.6063519144441164,Difficult,Difficult
loc_00040,Redbeds,32.166,-5.523,Drâa-Tafilalet,146.6382129584374,12.045384344476895,9.531647485149794,2291.8017578125,0.1,71688.18116632386,9.0,71.0,Bare/sparse vegetation,point,3.0,0.2946484703450411,Moderate,Moderate
loc_00041,Intraformational unc,32.193,-5.639,Drâa-Tafilalet,35.1275096449228,9.687231265319118,8.755005891658058,2250.5,0.9,68976.81010235767,9.0,71.0,Water bodies,point,3.0,0.3139474832885016,Moderate,Moderate
loc_00042,Isli Lake,32.222,-5.55,Drâa-Tafilalet,6712.828730694332,5.047793928497748,5.039518498192149,2283.41796875,0.15,76545.99295406092,9.0,71.0,Grassland,point,3.0,0.5849086279541268,Difficult,Difficult
loc_00043,Tisli Lake,32.199,-5.629,Drâa-Tafilalet,1046.29874251327,6.21348457153992,7.550444295583677,2257.7021484375,0.1,69743.68649475397,9.0,71.0,Bare/sparse vegetation,point,3.0,0.2888587575601659,Moderate,Moderate
loc_00044,Dolerite dykes and sills,32.153,-5.64,Drâa-Tafilalet,884.6377507604178,17.843734852498383,14.163580271823347,2174.27734375,0.1,70047.13256157683,9.0,71.0,Bare/sparse vegetation,point,3.0,0.3997650591423842,Moderate,Moderate
loc_00045,Fairy chimneys,32.176,-5.599,Drâa-Tafilalet,973.7113341093008,18.043591056444985,17.447846720041323,2237.878662109375,0.1,73077.41524595869,9.0,71.0,Bare/sparse vegetation,point,3.0,0.4378516927078589,Moderate,Difficult
loc_00046,Meandering Melloul river,32.159,-5.603,Drâa-Tafilalet,27.430577390179785,4.722552562612837,15.578986554106406,2166.27392578125,0.1,71229.63004702001,9.0,71.0,Bare/sparse vegetation,point,4.0,0.3046011555185934,Moderate,Easy
loc_00047,Sedimentary patterns,32.167,-5.545,Drâa-Tafilalet,623.8889377419606,11.337032178578443,15.26180349302686,2318.35498046875,0.15,71807.12240601449,9.0,71.0,Grassland,point,4.0,0.3535873002171846,Moderate,Difficult
loc_00048,Msadrid ridge,32.153,-5.593,Drâa-Tafilalet,95.46988390156714,26.173386549165667,29.111279700413224,2193.627197265625,0.1,70480.97468226097,9.0,18.0,Bare/sparse vegetation,point,3.0,0.5246087543290738,Difficult,Difficult
loc_00049,Ait Ali Ou Ikkou's diapirsm,32.153,-5.593,Drâa-Tafilalet,95.46988390156714,26.173386549165667,29.111279700413224,2193.627197265625,0.1,70480.97468226097,9.0,18.0,Bare/sparse vegetation,point,3.0,0.5246087543290738,Difficult,Difficult
loc_00050,Late Jurassic theropod tracks,32.142,-5.57,Drâa-Tafilalet,56.17002560940601,19.43486581913366,18.16287609762397,2215.2734375,0.1,69112.8042395822,9.0,71.0,Bare/sparse vegetation,point,3.0,0.4210390636835392,Moderate,Moderate
loc_00051,Vertebrate tracks in the Isli Formation,32.157,-5.562,Drâa-Tafilalet,15.473437282230837,5.691909149240258,7.189384523502066,2215.26708984375,0.15,70743.27266345658,9.0,71.0,Grassland,point,4.0,0.2460568051428032,Easy,Easy
loc_00052,Traces of Selenichnites- Tilmi syncline,32.163,-5.546,Drâa-Tafilalet,170.60857115817515,22.402476337962888,30.89987409607438,2301.502685546875,0.15,71364.20979430796,9.0,71.0,Grassland,point,4.0,0.5166671761194107,Difficult,Difficult
loc_00053,Traces of Crocodylopodus meijidei,32.183,-5.458,Drâa-Tafilalet,886.8240830009009,14.632680179065732,15.959504939307852,2407.218017578125,0.1,73898.15001110364,9.0,71.0,Bare/sparse vegetation,point,3.0,0.397477900935099,Moderate,Difficult
loc_00054,Tassent ridge,32.15,-5.55,Drâa-Tafilalet,1107.4964033923966,12.508787999380983,14.55172956482438,2314.31201171875,0.15,69927.55694125856,9.0,71.0,Grassland,point,4.0,0.3850438834647198,Moderate,Difficult
loc_00055,Akhiam cave,31.958,-5.696,Drâa-Tafilalet,5561.056129475519,15.273143359347486,13.318962664643594,2743.482177734375,0.15,50996.19486176353,7.0,71.0,Grassland,point,3.0,0.7147440549417813,Very Difficult,Difficult
loc_00056,The cliff granaries of Aoujgal,32.0,-6.333333333333333,Béni Mellal-Khénifra,8903.047471595019,12.490324977480784,18.71419566761364,1310.7635498046875,0.15,37208.22697552317,9.0,71.0,Grassland,point,0.0,0.650567179308027,Very Difficult,Difficult
loc_00057,Archaeoctic limestone,31.875,-8.866666666666667,Marrakech-Safi,1150.4476749231942,14.001315887573078,19.82941380020016,347.2945556640625,0.15,51884.75957533312,8.0,71.0,Grassland,point,1.0,0.3024805939353196,Moderate,Moderate
loc_00058,Sidi Bouzid escarpment,32.30027777777777,-9.251111111111111,Marrakech-Safi,718.711401326425,0.0,0.0,0.0,0.9,1092.3481218454056,9.0,69.0,Water bodies,point,4.0,0.1147947292992009,Easy,Easy
loc_00059,Chaâba valley,32.30277777777778,-9.230833333333331,Marrakech-Safi,351.83993746845465,12.903740604452636,14.99053740698444,24.019086837768555,0.55,898.6890501224395,8.0,69.0,Tree cover,point,0.0,0.2252956974338645,Easy,Easy
loc_00060,Sidi Abderrahmane clayquarry,32.3325,-9.176666666666666,Marrakech-Safi,480.1483759964575,5.691311732770572,7.723564652371998,84.00806427001953,0.1,6958.997709863657,8.0,69.0,Bare/sparse vegetation,point,0.0,0.1136518025908417,Easy,Easy
loc_00061,Sidi Abderrahmane dam,32.323888888888895,-9.180277777777777,Marrakech-Safi,369.9045200371728,0.0,0.120706857728564,73.5,0.9,6197.569218559435,8.0,69.0,Water bodies,point,0.0,0.1044803222891455,Easy,Easy
loc_00062,Escarpment of Lalla Fatna,32.3875,-9.265,Marrakech-Safi,338.3994223278452,1.7349064671771348,3.009353007166838,103.58576202392578,0.2,10081.595725987292,9.0,71.0,Cropland,point,2.0,0.0807892709679516,Easy,Easy
loc_00064,El Goraan cave,32.5575,-9.254166666666666,Marrakech-Safi,138.50511842562184,5.463482067130809,6.387559685825316,48.8121452331543,0.15,28729.590112721675,3.0,17.0,Grassland,point,0.0,0.0983191811543551,Easy,Easy
loc_00065,Souira Lgdima,32.03777777777778,-9.340555555555556,Marrakech-Safi,640.9512162024633,2.291736652263597,2.425270387949037,11.194884300231934,0.05,30608.183720969308,3.0,71.0,Built-up,point,1.0,0.07860486686181,Easy,Easy
loc_00066,Sidi Tiji Gypsum quarry,32.157777777777774,-8.865277777777777,Marrakech-Safi,1082.830115001884,20.08525852384037,20.674009717200413,335.76287841796875,0.1,32810.84803642279,8.0,68.0,Bare/sparse vegetation,point,0.0,0.3513985128416982,Moderate,Moderate
loc_00067,Jorf Lihoudi,32.18,-9.26,Marrakech-Safi,43.376201603436975,33.85200349910861,31.703385225012283,46.47063446044922,0.15,13418.135851445651,3.0,71.0,Grassland,point,1.0,0.410522236295837,Moderate,Moderate
loc_00069,Panoramic view of the cliff,32.30027777777777,-9.251111111111111,Marrakech-Safi,718.711401326425,0.0,0.0,0.0,0.9,1092.3481218454056,9.0,69.0,Water bodies,point,4.0,0.1147947292992009,Easy,Easy
loc_00070,Lake Afourgagh- charophytes tufas & gyrogonites,33.61666666666667,-4.883333333333333,Fés-Meknés,1355.469264824249,4.549120902683868,7.977585469395661,1437.128173828125,0.2,23000.8681415211,3.0,71.0,Cropland,point,0.0,0.2639752272819582,Moderate,Moderate
loc_00071,Lake Aoua (Dayet Aoua),33.65555555555555,-5.333333333333333,Fés-Meknés,1448.3479103041025,1.7954283082448508,2.151592160059401,1164.968017578125,0.15,25304.890576559184,3.0,71.0,Grassland,point,0.0,0.2109812123287587,Easy,Easy
loc_00072,Lake Ifrah (Dayet Ifrah),33.5625,-4.916666666666667,Fés-Meknés,1570.2237955479195,5.260107957112422,6.175748966942149,1685.5123291015625,0.15,18097.90184884755,3.0,71.0,Grassland,point,0.0,0.3025249101156306,Moderate,Moderate
loc_00073,Lake Aguelmame Sidi Ali,33.07611111111112,-5.003611111111111,Drâa-Tafilalet,1394.5608482328523,1.8879821345795669,3.161181237086777,2083.602783203125,0.15,40903.77395647355,9.0,71.0,Grassland,point,3.0,0.2840689254286878,Moderate,Moderate
loc_00074,Frasnian-Famennian Kellwasser black limestones of Bou Ounabdou,33.142833333333336,-5.518,Béni Mellal-Khénifra,3170.325347220719,12.18283338857304,12.823192754067666,1240.796142578125,0.15,42228.97269953822,9.0,71.0,Grassland,point,1.0,0.562399248690103,Difficult,Moderate
loc_00075,Famennian Griottes limestones of Bou Ounabdou,33.14266666666666,-5.5175,Béni Mellal-Khénifra,3120.583216673034,11.578979110115249,12.415116743607957,1241.7813720703125,0.15,42213.42557830622,9.0,71.0,Grassland,point,1.0,0.55217096107309,Difficult,Moderate
loc_00076,Famennian Zebra griottes limestones of Ziyar,33.0425,-5.738666666666667,Béni Mellal-Khénifra,12.65150567422099,10.078278478595164,10.629656326672263,972.6912231445312,0.15,64537.17168454924,3.0,8.0,Grassland,point,0.0,0.1897214190019619,Easy,Easy
loc_00077,Arich OuzellaFm,31.142222222222223,-9.707777777777777,Marrakech-Safi,52.06645733258384,7.210997754611064,9.64733911939889,430.5691528320313,0.35,41420.80998277794,3.0,68.0,Shrubland,point,0.0,0.1476634743526939,Easy,Easy
loc_00078,Chiker polje,34.118611111111115,-4.040555555555556,Fés-Meknés,122.3666033255707,0.558368552798187,2.8388379309788223,1344.6116943359375,0.2,12715.54371420903,8.0,71.0,Cropland,point,0.0,0.1506263411944873,Easy,Easy
loc_00079,Chiker cave,34.12166666666667,-4.038333333333333,Fés-Meknés,10.913006500753085,7.865995902008005,13.296947636880166,1346.4769287109375,0.15,12339.70914187479,8.0,71.0,Grassland,point,0.0,0.2340522019173529,Easy,Easy
loc_00080,Dolines of Ademame,34.04361111111111,-4.095,Fés-Meknés,1755.6161662861232,12.490324977480784,9.67986606566374,1423.4893798828125,0.55,22165.545960322444,9.0,71.0,Tree cover,point,1.0,0.3873888838719354,Moderate,Moderate
loc_00081,Ras El Oued cave,33.95916666666667,-4.0,Fés-Meknés,1559.671428840799,26.63726363993884,39.11704508463541,888.1976318359375,0.55,30146.88817653147,8.0,18.0,Tree cover,point,0.0,0.5604427080814933,Difficult,Difficult
loc_00082,Chaâra lapiaz,33.97361111111111,-4.224722222222223,Fés-Meknés,3577.991195857184,6.538174542175571,4.547774890237603,1218.2015380859375,0.55,34702.17093221022,9.0,26.0,Tree cover,point,0.0,0.5121970073821986,Difficult,Moderate
loc_00083,Chaâra cave,33.95583333333334,-4.246111111111111,Fés-Meknés,4621.038856262834,33.201915690930825,40.8575943875904,1265.4425048828125,0.55,37453.16220160987,9.0,26.0,Tree cover,point,1.0,0.8611098636754116,Very Difficult,Difficult
loc_00084,GueltaTameda Lake,33.81777777777778,-4.081666666666666,Fés-Meknés,1490.091992798936,1.63319636452748,3.5823934255552685,1457.727294921875,0.9,46326.10433989286,9.0,71.0,Water bodies,point,0.0,0.2894339431673283,Moderate,Moderate
loc_00085,Taffert canyons,33.72138888888889,-4.2275,Fés-Meknés,2057.5612425203226,40.12698614723842,46.226998321281,1181.843017578125,0.15,57168.08112486565,9.0,71.0,Grassland,point,0.0,0.6738274458157149,Very Difficult,Difficult
loc_00086,Aïn Sebou,33.73694444444445,-4.532777777777778,Fés-Meknés,109.00262732580342,24.27007134084491,17.372701849819215,673.1033935546875,0.15,29449.49451759153,8.0,71.0,Grassland,point,0.0,0.3340663595384491,Moderate,Moderate
loc_00087,Addan onion peels,29.213335,-8.203033,Souss-Massa,12192.442045267428,2.019416004034639,2.239810912077092,450.4251403808594,0.1,63433.92516224948,7.0,46.0,Bare/sparse vegetation,point,0.0,0.4287988413170765,Moderate,Difficult
loc_00088,Akka badlands,29.483864,-8.295043,Souss-Massa,2734.4029633338378,3.486324251041411,2.383620585291838,579.846923828125,0.1,42917.02094782206,7.0,71.0,Bare/sparse vegetation,point,1.0,0.3712598522751115,Moderate,Easy
loc_00089,Tata hearts,29.483864,-8.295043,Souss-Massa,2734.4029633338378,3.486324251041411,2.383620585291838,579.846923828125,0.1,42917.02094782206,7.0,71.0,Bare/sparse vegetation,point,1.0,0.3712598522751115,Moderate,Easy
loc_00090,Imitek Karsts,29.603338,-8.251098,Souss-Massa,413.9818941990295,18.33481131104658,17.14321268885589,770.0392456054688,0.1,31505.89505847208,7.0,56.0,Bare/sparse vegetation,point,0.0,0.2972089253065902,Moderate,Moderate
loc_00091,Issafenflat-irons,29.854611,-8.533996,Souss-Massa,462.8707566984186,3.1260740200288675,3.16756521177686,1131.458251953125,0.1,55772.00239851437,7.0,56.0,Bare/sparse vegetation,point,0.0,0.1388197368482081,Easy,Easy
loc_00092,Tadakoust Pyramids,29.270107,-8.678496,Souss-Massa,2227.558329098932,32.48429056559153,35.3710579359827,731.8260498046875,0.1,86664.52585776061,7.0,56.0,Bare/sparse vegetation,point,0.0,0.6518160708187519,Very Difficult,Difficult
loc_00093,Issafen chevrons,29.850649,-8.512572,Souss-Massa,1323.552277545519,21.895878364173857,35.38970896823347,1341.591796875,0.1,53659.44616492296,7.0,71.0,Bare/sparse vegetation,point,1.0,0.5126562197994206,Difficult,Difficult
loc_00094,Ait Ouabelli chasms,29.213335,-8.203033,Souss-Massa,12192.442045267428,2.019416004034639,2.239810912077092,450.4251403808594,0.1,63433.92516224948,7.0,46.0,Bare/sparse vegetation,point,0.0,0.4287988413170765,Moderate,Difficult
loc_00095,Tagmout mask,29.270107,-8.678496,Souss-Massa,2227.558329098932,32.48429056559153,35.3710579359827,731.8260498046875,0.1,86664.52585776061,7.0,56.0,Bare/sparse vegetation,point,0.0,0.6518160708187519,Very Difficult,Difficult
loc_00096,Alougoum Pyramid,29.442398,-8.264208,Souss-Massa,594.1015242518711,23.01795212932434,30.47660487151343,614.5865478515625,0.1,44204.01319685871,7.0,71.0,Bare/sparse vegetation,point,1.0,0.4016991106076215,Moderate,Moderate
loc_00097,Messalite cave,29.442398,-8.264208,Souss-Massa,594.1015242518711,23.01795212932434,30.47660487151343,614.5865478515625,0.1,44204.01319685871,7.0,71.0,Bare/sparse vegetation,point,1.0,0.4016991106076215,Moderate,Moderate
loc_00098,Tamzrart Petrified waterfall,29.339495,-8.52788,Souss-Massa,3458.1158246885184,29.39721078804148,46.131295196281,736.9594116210938,0.1,70453.99154376212,3.0,49.0,Bare/sparse vegetation,point,0.0,0.7734122638118012,Very Difficult,Difficult
loc_00099,Foum Zguid water gap,30.140782,-6.877585,Souss-Massa,16.553922878181726,1.65072685623932,1.3149232470299588,677.3510131835938,0.1,86725.34864337214,3.0,8.0,Bare/sparse vegetation,point,0.0,0.0857977689260307,Easy,Easy
loc_00100,Tissint water gap,29.91642,-7.374716,Souss-Massa,2909.414155702192,5.20687268704095,8.004744600658574,621.0863037109375,0.1,60417.7006086088,3.0,10.0,Bare/sparse vegetation,point,0.0,0.4257366206145906,Moderate,Moderate
loc_00101,Sidi Rezzoug water gap,29.748743,-7.659674,Souss-Massa,1023.7575193572536,1.0049701208304378,1.2619422092910642,615.0166015625,0.1,29922.391513143244,9.0,8.0,Bare/sparse vegetation,point,0.0,0.1189556494233804,Easy,Easy
loc_00102,Tata water gap,29.705037,-7.986517,Souss-Massa,578.940300659856,0.9649669112691428,0.9674218548230888,631.6235961914062,0.2,4879.833080778235,7.0,8.0,Cropland,point,0.0,0.0993192799095853,Easy,Easy
loc_00103,Akka water gap,29.475754,-8.277655,Souss-Massa,1018.9133494132022,2.306984839941124,1.8974569021177683,579.6940307617188,0.1,42337.579747520926,7.0,71.0,Bare/sparse vegetation,point,1.0,0.1209871099089662,Easy,Easy
loc_00104,Ait Ouabelli water gap,29.240173,-8.53858,Souss-Massa,719.3575449097655,2.0490575161352287,1.511522529538998,476.769775390625,0.1,78746.1145228218,7.0,71.0,Bare/sparse vegetation,point,1.0,0.0956384954552422,Easy,Easy
loc_00105,Icht water gap,29.086675,-8.85169,Souss-Massa,2772.605326220272,0.752924066313655,0.3279065849367252,532.5695190429688,0.1,109049.70301424002,7.0,14.0,Bare/sparse vegetation,point,0.0,0.3608880176080165,Moderate,Easy
loc_00106,Fam El Hisn water gap,29.06027,-8.925848,Souss-Massa,4139.968955424041,0.8771481501016923,0.7460352369576446,543.4288940429688,0.1,105493.02169167464,7.0,24.0,Bare/sparse vegetation,point,0.0,0.4209164993947445,Moderate,Moderate
loc_00107,Tizgui Ida Ou Baloul water gap,29.741683,-8.50205,Souss-Massa,387.2213644877399,20.66498786999203,26.947661596881456,1009.016357421875,0.1,51407.5379938694,7.0,49.0,Bare/sparse vegetation,point,0.0,0.3934880785651972,Moderate,Moderate
loc_00108,Ibn Yaakoub water gap,30.068945,-7.954123,Souss-Massa,3736.072563585371,10.22826042315406,5.937042992962294,1457.3282470703125,0.1,35897.287861758625,9.0,56.0,Bare/sparse vegetation,point,0.0,0.5377114626622886,Difficult,Moderate
